DALIA_ID,Kommentar zur Kuration,Authors,License,Link,Title,Community,Description,Discipline,FileFormat,Keywords,Language,LearningResourceType,MediaType,ProficiencyLevel,PublicationDate,TargetGroup,RelatedWork,Size,Version
c1d24f6a-08f1-436a-b941-07ec42738d09,,"Karsten-Welker, Adienne Alena : {https://orcid.org/0000-0002-0562-7393} * Haller, Alexander : {https://orcid.org/0009-0006-8685-3507} * Hohenfeld, Christian : {https://orcid.org/0000-0002-8587-8052} * Timm, Henning : {https://orcid.org/0000-0002-5345-7122} * Uzun, Hüseyin : {https://orcid.org/0009-0005-4968-3564} * Jacob, Juliane : {https://orcid.org/0000-0002-0443-3570} * Krägelin, Karl-Ulrich : {https://orcid.org/0000-0002-0189-8049} * Bossert, Lukas C. : {https://orcid.org/0000-0003-3076-3968} * Cyra, Magdalene : {https://orcid.org/0000-0001-7738-2703} * Sommer, Maike * Schröder, Max : {https://orcid.org/0000-0003-1522-494X} * Parks, Nicole Andrea : {https://orcid.org/0000-0002-6243-2840} * Kling, Philipp * Stimberg, Sebastian * Gaida, Sven * Richter, Thomas * Fingerhuth, Matthias : {https://orcid.org/0000-0002-0248-8914}",CC0-1.0,https://eln-resources.gitlab.io/collection/,Welcome to the ELN Material Collection,fdm.nrw (SR),"The ELN Material Collection project strives to collect useful materials, reports, etc. for the use of electronic lab notebook (ELNs). As a self-organized community effort, collaboration in the form of feedback, links to materials, or merge requests with changes are very welcome. Since this initiative was started by an eLabFTW user group organized by fdm.nrw it currently has a strong focus on eLabFTW. If you are new to eLabFTW and would like a short introduction to the software, please refer to the section Software Information. Material for other ELNs is welcome as well.",,,electronic lab notebook * ELN * FDM,en,webpage,text,novice,,,,,
a4ae1300-960e-4149-bd96-50546897efd0,,"Karsten-Welker, Adienne Alena : {https://orcid.org/0000-0002-0562-7393} * Haller, Alexander : {https://orcid.org/0009-0006-8685-3507} * Hohenfeld, Christian : {https://orcid.org/0000-0002-8587-8052} * Timm, Henning : {https://orcid.org/0000-0002-5345-7122} * Uzun, Hüseyin : {https://orcid.org/0009-0005-4968-3564} * Jacob, Juliane : {https://orcid.org/0000-0002-0443-3570} * Krägelin, Karl-Ulrich : {https://orcid.org/0000-0002-0189-8049} * Bossert, Lukas C. : {https://orcid.org/0000-0003-3076-3968} * Cyra, Magdalene : {https://orcid.org/0000-0001-7738-2703} * Sommer, Maike * Schröder, Max : {https://orcid.org/0000-0003-1522-494X} * Parks, Nicole Andrea : {https://orcid.org/0000-0002-6243-2840} * Kling, Philipp * Stimberg, Sebastian * Gaida, Sven * Richter, Thomas * Fingerhuth, Matthias : {https://orcid.org/0000-0002-0248-8914}",CC0-1.0,https://eln-resources.gitlab.io/collection/software_information/,eLabFTW – a web-based white paper approach to support modern lab documentation,fdm.nrw (SR),"Usage concept and AdvantagesWhite paper approach: All elements in eLabFTW, i.e. experiments and resources can contain a textual description using a WYSIWYG editor (What you see is what you get). In addition, references to other experiments, resources can be created as well as files attached.Metadata-Input: Despite the textual description, each element in eLabFTW can be annotated with metadata that can be inserted, e.g. by an automatically generated form. Technically, the metadata fields and information is stored in an attached JSON file.",,,eLabFTW ,en,webpage,text,advanced beginner,,,isPartOf:https://eln-resources.gitlab.io/collection/,,
9c691613-e067-404e-b08c-aafd208c0a48,,"Karsten-Welker, Adienne Alena : {https://orcid.org/0000-0002-0562-7393} * Haller, Alexander : {https://orcid.org/0009-0006-8685-3507} * Hohenfeld, Christian : {https://orcid.org/0000-0002-8587-8052} * Timm, Henning : {https://orcid.org/0000-0002-5345-7122} * Uzun, Hüseyin : {https://orcid.org/0009-0005-4968-3564} * Jacob, Juliane : {https://orcid.org/0000-0002-0443-3570} * Krägelin, Karl-Ulrich : {https://orcid.org/0000-0002-0189-8049} * Bossert, Lukas C. : {https://orcid.org/0000-0003-3076-3968} * Cyra, Magdalene : {https://orcid.org/0000-0001-7738-2703} * Sommer, Maike * Schröder, Max : {https://orcid.org/0000-0003-1522-494X} * Parks, Nicole Andrea : {https://orcid.org/0000-0002-6243-2840} * Kling, Philipp * Stimberg, Sebastian * Gaida, Sven * Richter, Thomas * Fingerhuth, Matthias : {https://orcid.org/0000-0002-0248-8914}",CC0-1.0,https://eln-resources.gitlab.io/collection/installation/overview/,ELN Material Collection - Installation : Overview,fdm.nrw (SR),This section provides a brief overview about the chapters in this section as well as a general description of how different institutions run the software. If you are familiar with eLabFTW in general and want to install it at your institution start here. ,,,eLabFTW ,en,tutorial,text,advanced beginner,,,isPartOf:https://eln-resources.gitlab.io/collection/,,
9c8ce32a-7633-44f3-97de-4c4a37c09b46,,"Karsten-Welker, Adienne Alena : {https://orcid.org/0000-0002-0562-7393} * Haller, Alexander : {https://orcid.org/0009-0006-8685-3507} * Hohenfeld, Christian : {https://orcid.org/0000-0002-8587-8052} * Timm, Henning : {https://orcid.org/0000-0002-5345-7122} * Uzun, Hüseyin : {https://orcid.org/0009-0005-4968-3564} * Jacob, Juliane : {https://orcid.org/0000-0002-0443-3570} * Krägelin, Karl-Ulrich : {https://orcid.org/0000-0002-0189-8049} * Bossert, Lukas C. : {https://orcid.org/0000-0003-3076-3968} * Cyra, Magdalene : {https://orcid.org/0000-0001-7738-2703} * Sommer, Maike * Schröder, Max : {https://orcid.org/0000-0003-1522-494X} * Parks, Nicole Andrea : {https://orcid.org/0000-0002-6243-2840} * Kling, Philipp * Stimberg, Sebastian * Gaida, Sven * Richter, Thomas * Fingerhuth, Matthias : {https://orcid.org/0000-0002-0248-8914}",CC0-1.0,https://eln-resources.gitlab.io/collection/installation/operations/,ELN Material Collection - Installation : General Operations and Maintenance,fdm.nrw (SR),"Requirements, Backups, Updates, Troubleshooting, Which ""tool"" to use for deployment (or any tool at all?), Manual",,,eLabFTW ,en,tutorial,text,advanced beginner,,,isPartOf:https://eln-resources.gitlab.io/collection/,,
be4a2889-39d7-4590-9be5-097c72efa067,,"Karsten-Welker, Adienne Alena : {https://orcid.org/0000-0002-0562-7393} * Haller, Alexander : {https://orcid.org/0009-0006-8685-3507} * Hohenfeld, Christian : {https://orcid.org/0000-0002-8587-8052} * Timm, Henning : {https://orcid.org/0000-0002-5345-7122} * Uzun, Hüseyin : {https://orcid.org/0009-0005-4968-3564} * Jacob, Juliane : {https://orcid.org/0000-0002-0443-3570} * Krägelin, Karl-Ulrich : {https://orcid.org/0000-0002-0189-8049} * Bossert, Lukas C. : {https://orcid.org/0000-0003-3076-3968} * Cyra, Magdalene : {https://orcid.org/0000-0001-7738-2703} * Sommer, Maike * Schröder, Max : {https://orcid.org/0000-0003-1522-494X} * Parks, Nicole Andrea : {https://orcid.org/0000-0002-6243-2840} * Kling, Philipp * Stimberg, Sebastian * Gaida, Sven * Richter, Thomas * Fingerhuth, Matthias : {https://orcid.org/0000-0002-0248-8914}",CC0-1.0,https://eln-resources.gitlab.io/collection/installation/backend_configuration/,ELN Material Collection - Installation : Backend Configuration,fdm.nrw (SR),"The configuration is relevant to all installation methods, as of course, even with automated installation you have to provide a configuration file.The configuration is relevant to all installation methods, as of course, even with automated installation you have to provide a configuration file.",,,eLabFTW ,en,tutorial,text * code,advanced beginner,,,isPartOf:https://eln-resources.gitlab.io/collection/,,
8d65b821-9124-41a2-a0ee-55a8079f8e88,,"Karsten-Welker, Adienne Alena : {https://orcid.org/0000-0002-0562-7393} * Haller, Alexander : {https://orcid.org/0009-0006-8685-3507} * Hohenfeld, Christian : {https://orcid.org/0000-0002-8587-8052} * Timm, Henning : {https://orcid.org/0000-0002-5345-7122} * Uzun, Hüseyin : {https://orcid.org/0009-0005-4968-3564} * Jacob, Juliane : {https://orcid.org/0000-0002-0443-3570} * Krägelin, Karl-Ulrich : {https://orcid.org/0000-0002-0189-8049} * Bossert, Lukas C. : {https://orcid.org/0000-0003-3076-3968} * Cyra, Magdalene : {https://orcid.org/0000-0001-7738-2703} * Sommer, Maike * Schröder, Max : {https://orcid.org/0000-0003-1522-494X} * Parks, Nicole Andrea : {https://orcid.org/0000-0002-6243-2840} * Kling, Philipp * Stimberg, Sebastian * Gaida, Sven * Richter, Thomas * Fingerhuth, Matthias : {https://orcid.org/0000-0002-0248-8914}",CC0-1.0,https://eln-resources.gitlab.io/collection/installation/ansible/,ELN Material Collection - Installation : Ansible,fdm.nrw (SR),"Ansible facilitates the installation, updates, and maintenance of target systems (managed nodes) from a central control node. Both the control node and the managed nodes can be physical servers or VMs. Installation processes are described in so called playbooks defining a list of ansible roles that perform a specific task. Updates and installations can be deployed to several nodes at once.",,,eLabFTW ,en,tutorial,text,competent,,,isPartOf:https://eln-resources.gitlab.io/collection/,,
b0dea9f7-8335-49c0-9fea-2019707b5760,,"Karsten-Welker, Adienne Alena : {https://orcid.org/0000-0002-0562-7393} * Haller, Alexander : {https://orcid.org/0009-0006-8685-3507} * Hohenfeld, Christian : {https://orcid.org/0000-0002-8587-8052} * Timm, Henning : {https://orcid.org/0000-0002-5345-7122} * Uzun, Hüseyin : {https://orcid.org/0009-0005-4968-3564} * Jacob, Juliane : {https://orcid.org/0000-0002-0443-3570} * Krägelin, Karl-Ulrich : {https://orcid.org/0000-0002-0189-8049} * Bossert, Lukas C. : {https://orcid.org/0000-0003-3076-3968} * Cyra, Magdalene : {https://orcid.org/0000-0001-7738-2703} * Sommer, Maike * Schröder, Max : {https://orcid.org/0000-0003-1522-494X} * Parks, Nicole Andrea : {https://orcid.org/0000-0002-6243-2840} * Kling, Philipp * Stimberg, Sebastian * Gaida, Sven * Richter, Thomas * Fingerhuth, Matthias : {https://orcid.org/0000-0002-0248-8914}",CC0-1.0,https://eln-resources.gitlab.io/collection/installation/kubernetes/,ELN Material Collection - Installation : Kubernetes,fdm.nrw (SR),"Kubernetes (K8s) is an open-source container orchestration platform that automates the deployment, scaling, and management of containerized applications. Kubernetes is widely used for large setups and requires a certain initial investment in the software and concepts.",,,,en,tutorial,text,competent,,,isPartOf:https://eln-resources.gitlab.io/collection/,,
6ee66a5f-1b64-4995-b7bf-17043a02358b,,"Karsten-Welker, Adienne Alena : {https://orcid.org/0000-0002-0562-7393} * Haller, Alexander : {https://orcid.org/0009-0006-8685-3507} * Hohenfeld, Christian : {https://orcid.org/0000-0002-8587-8052} * Timm, Henning : {https://orcid.org/0000-0002-5345-7122} * Uzun, Hüseyin : {https://orcid.org/0009-0005-4968-3564} * Jacob, Juliane : {https://orcid.org/0000-0002-0443-3570} * Krägelin, Karl-Ulrich : {https://orcid.org/0000-0002-0189-8049} * Bossert, Lukas C. : {https://orcid.org/0000-0003-3076-3968} * Cyra, Magdalene : {https://orcid.org/0000-0001-7738-2703} * Sommer, Maike * Schröder, Max : {https://orcid.org/0000-0003-1522-494X} * Parks, Nicole Andrea : {https://orcid.org/0000-0002-6243-2840} * Kling, Philipp * Stimberg, Sebastian * Gaida, Sven * Richter, Thomas * Fingerhuth, Matthias : {https://orcid.org/0000-0002-0248-8914}",CC0-1.0,https://eln-resources.gitlab.io/collection/configuration/overview/,ELN Material Collection - Configuration : Suggested Settings for eLabFTW,fdm.nrw (SR),This chapter provides recommendations for all those settings that can be made over the web-ui.,,,eLabFTW ,en,webpage,text,novice,,,isPartOf:https://eln-resources.gitlab.io/collection/,,
cb288c15-1c3d-4bd8-b690-8a4a846a4098,,"Karsten-Welker, Adienne Alena : {https://orcid.org/0000-0002-0562-7393} * Haller, Alexander : {https://orcid.org/0009-0006-8685-3507} * Hohenfeld, Christian : {https://orcid.org/0000-0002-8587-8052} * Timm, Henning : {https://orcid.org/0000-0002-5345-7122} * Uzun, Hüseyin : {https://orcid.org/0009-0005-4968-3564} * Jacob, Juliane : {https://orcid.org/0000-0002-0443-3570} * Krägelin, Karl-Ulrich : {https://orcid.org/0000-0002-0189-8049} * Bossert, Lukas C. : {https://orcid.org/0000-0003-3076-3968} * Cyra, Magdalene : {https://orcid.org/0000-0001-7738-2703} * Sommer, Maike * Schröder, Max : {https://orcid.org/0000-0003-1522-494X} * Parks, Nicole Andrea : {https://orcid.org/0000-0002-6243-2840} * Kling, Philipp * Stimberg, Sebastian * Gaida, Sven * Richter, Thomas * Fingerhuth, Matthias : {https://orcid.org/0000-0002-0248-8914}",CC0-1.0,https://eln-resources.gitlab.io/collection/configuration/sysadmin/,ELN Material Collection - Configuration : Sysadmin panel,fdm.nrw (SR),The following settings can be applied by any eLabFTW sysadmin.,,,eLabFTW ,en,tutorial,text,competent,,,isPartOf:https://eln-resources.gitlab.io/collection/,,
671a9539-eace-4b57-9908-f653ac97a9a5,,"Karsten-Welker, Adienne Alena : {https://orcid.org/0000-0002-0562-7393} * Haller, Alexander : {https://orcid.org/0009-0006-8685-3507} * Hohenfeld, Christian : {https://orcid.org/0000-0002-8587-8052} * Timm, Henning : {https://orcid.org/0000-0002-5345-7122} * Uzun, Hüseyin : {https://orcid.org/0009-0005-4968-3564} * Jacob, Juliane : {https://orcid.org/0000-0002-0443-3570} * Krägelin, Karl-Ulrich : {https://orcid.org/0000-0002-0189-8049} * Bossert, Lukas C. : {https://orcid.org/0000-0003-3076-3968} * Cyra, Magdalene : {https://orcid.org/0000-0001-7738-2703} * Sommer, Maike * Schröder, Max : {https://orcid.org/0000-0003-1522-494X} * Parks, Nicole Andrea : {https://orcid.org/0000-0002-6243-2840} * Kling, Philipp * Stimberg, Sebastian * Gaida, Sven * Richter, Thomas * Fingerhuth, Matthias : {https://orcid.org/0000-0002-0248-8914}",CC0-1.0,https://eln-resources.gitlab.io/collection/configuration/teamadmin/,ELN Material Collection - Configuration : Admin panel,fdm.nrw (SR),The following settings can be applied by any eLabFTW teamadmin for his team(s).,,,eLabFTW ,en,tutorial,text,competent,,,isPartOf:https://eln-resources.gitlab.io/collection/,,
89830a96-7c04-455f-8ec0-09ffa790e84e,,"Karsten-Welker, Adienne Alena : {https://orcid.org/0000-0002-0562-7393} * Haller, Alexander : {https://orcid.org/0009-0006-8685-3507} * Hohenfeld, Christian : {https://orcid.org/0000-0002-8587-8052} * Timm, Henning : {https://orcid.org/0000-0002-5345-7122} * Uzun, Hüseyin : {https://orcid.org/0009-0005-4968-3564} * Jacob, Juliane : {https://orcid.org/0000-0002-0443-3570} * Krägelin, Karl-Ulrich : {https://orcid.org/0000-0002-0189-8049} * Bossert, Lukas C. : {https://orcid.org/0000-0003-3076-3968} * Cyra, Magdalene : {https://orcid.org/0000-0001-7738-2703} * Sommer, Maike * Schröder, Max : {https://orcid.org/0000-0003-1522-494X} * Parks, Nicole Andrea : {https://orcid.org/0000-0002-6243-2840} * Kling, Philipp * Stimberg, Sebastian * Gaida, Sven * Richter, Thomas * Fingerhuth, Matthias : {https://orcid.org/0000-0002-0248-8914}",CC0-1.0,https://eln-resources.gitlab.io/collection/Team-Admin-Ordnung/,ELN Material Collection - Operations : Team Admin,fdm.nrw (SR),These are examples for team admin guidelines:,,,,en,,text,novice,,,isPartOf:https://eln-resources.gitlab.io/collection/,,
b596cf75-73dd-4cd7-acc5-144ec7cc4c94,,"Karsten-Welker, Adienne Alena : {https://orcid.org/0000-0002-0562-7393} * Haller, Alexander : {https://orcid.org/0009-0006-8685-3507} * Hohenfeld, Christian : {https://orcid.org/0000-0002-8587-8052} * Timm, Henning : {https://orcid.org/0000-0002-5345-7122} * Uzun, Hüseyin : {https://orcid.org/0009-0005-4968-3564} * Jacob, Juliane : {https://orcid.org/0000-0002-0443-3570} * Krägelin, Karl-Ulrich : {https://orcid.org/0000-0002-0189-8049} * Bossert, Lukas C. : {https://orcid.org/0000-0003-3076-3968} * Cyra, Magdalene : {https://orcid.org/0000-0001-7738-2703} * Sommer, Maike * Schröder, Max : {https://orcid.org/0000-0003-1522-494X} * Parks, Nicole Andrea : {https://orcid.org/0000-0002-6243-2840} * Kling, Philipp * Stimberg, Sebastian * Gaida, Sven * Richter, Thomas * Fingerhuth, Matthias : {https://orcid.org/0000-0002-0248-8914}",CC0-1.0,https://eln-resources.gitlab.io/collection/developments/,ELN Material Collection - Developments,fdm.nrw (SR),"Feature Requests, Custom Developments, Recent Updates, Contributing",,,eLabFTW ,en,webpage,text,advanced beginner,,,isPartOf:https://eln-resources.gitlab.io/collection/,,
e84ccab4-7a6e-4496-8cb8-fe41fa54d27c,,"Karsten-Welker, Adienne Alena : {https://orcid.org/0000-0002-0562-7393} * Haller, Alexander : {https://orcid.org/0009-0006-8685-3507} * Hohenfeld, Christian : {https://orcid.org/0000-0002-8587-8052} * Timm, Henning : {https://orcid.org/0000-0002-5345-7122} * Uzun, Hüseyin : {https://orcid.org/0009-0005-4968-3564} * Jacob, Juliane : {https://orcid.org/0000-0002-0443-3570} * Krägelin, Karl-Ulrich : {https://orcid.org/0000-0002-0189-8049} * Bossert, Lukas C. : {https://orcid.org/0000-0003-3076-3968} * Cyra, Magdalene : {https://orcid.org/0000-0001-7738-2703} * Sommer, Maike * Schröder, Max : {https://orcid.org/0000-0003-1522-494X} * Parks, Nicole Andrea : {https://orcid.org/0000-0002-6243-2840} * Kling, Philipp * Stimberg, Sebastian * Gaida, Sven * Richter, Thomas * Fingerhuth, Matthias : {https://orcid.org/0000-0002-0248-8914}",CC0-1.0,https://eln-resources.gitlab.io/collection/legalAspects/IT_security_concept/,ELN Material Collection - Legal Aspects : IT Security Concept,fdm.nrw (SR),"Security involves many aspects and partly depends on the desired protection and chosen trade-offs. This makes it difficult to present one ""cookie-cutter"" aproach and it is advised to tread security more as a process that needs ongoing attention of a person. At the bottom of this chapter we link to an example TOM-Paper where we hope you find many points that you can incorporate into your own security concept.",,,,en,webpage,text,advanced beginner,,,isPartOf:https://eln-resources.gitlab.io/collection/,,
4aaff88b-13e9-46ad-87e7-139623bb9b16,,"Karsten-Welker, Adienne Alena : {https://orcid.org/0000-0002-0562-7393} * Haller, Alexander : {https://orcid.org/0009-0006-8685-3507} * Hohenfeld, Christian : {https://orcid.org/0000-0002-8587-8052} * Timm, Henning : {https://orcid.org/0000-0002-5345-7122} * Uzun, Hüseyin : {https://orcid.org/0009-0005-4968-3564} * Jacob, Juliane : {https://orcid.org/0000-0002-0443-3570} * Krägelin, Karl-Ulrich : {https://orcid.org/0000-0002-0189-8049} * Bossert, Lukas C. : {https://orcid.org/0000-0003-3076-3968} * Cyra, Magdalene : {https://orcid.org/0000-0001-7738-2703} * Sommer, Maike * Schröder, Max : {https://orcid.org/0000-0003-1522-494X} * Parks, Nicole Andrea : {https://orcid.org/0000-0002-6243-2840} * Kling, Philipp * Stimberg, Sebastian * Gaida, Sven * Richter, Thomas * Fingerhuth, Matthias : {https://orcid.org/0000-0002-0248-8914}",CC0-1.0,https://eln-resources.gitlab.io/collection/legalAspects/impressum/#template,ELN Material Collection - Legal Aspects : Impressum,fdm.nrw (SR),"The obligation to include an imprint applies to service providers as specified in Section 5 of the Telemedien-Gesetz (public entities, individuals, or legal entities) who offer commercial telemedia, typically for a fee. It is irrelevant whether the service providers offer their own telemedia or those of third parties, or simply provide access to such media for users.For example, an imprint or a link to the institution's imprint can be entered under the ""Policies"" tab in the SysAdmin panel.Below is a template adapted from the RWTH Aachen University Impressum for Coscine",,,,en,webpage,text,advanced beginner,,,isPartOf:https://eln-resources.gitlab.io/collection/,,
2c0ea34a-e4e2-4015-8574-8531695aeaa7,,"Karsten-Welker, Adienne Alena : {https://orcid.org/0000-0002-0562-7393} * Haller, Alexander : {https://orcid.org/0009-0006-8685-3507} * Hohenfeld, Christian : {https://orcid.org/0000-0002-8587-8052} * Timm, Henning : {https://orcid.org/0000-0002-5345-7122} * Uzun, Hüseyin : {https://orcid.org/0009-0005-4968-3564} * Jacob, Juliane : {https://orcid.org/0000-0002-0443-3570} * Krägelin, Karl-Ulrich : {https://orcid.org/0000-0002-0189-8049} * Bossert, Lukas C. : {https://orcid.org/0000-0003-3076-3968} * Cyra, Magdalene : {https://orcid.org/0000-0001-7738-2703} * Sommer, Maike * Schröder, Max : {https://orcid.org/0000-0003-1522-494X} * Parks, Nicole Andrea : {https://orcid.org/0000-0002-6243-2840} * Kling, Philipp * Stimberg, Sebastian * Gaida, Sven * Richter, Thomas * Fingerhuth, Matthias : {https://orcid.org/0000-0002-0248-8914}",CC0-1.0,https://eln-resources.gitlab.io/collection/legalAspects/personalrat/,ELN Material Collection - Legal Aspects : Personalrat (English: Staff Council),fdm.nrw (SR),"It's best to transparently cooperate with the staff council at the very beginning of the process of acquiring an ELN.The topic of work tracking is central for ELNs with respect to the Staff Council. Time stamp visibility varies depending on the ELN, while solutions such as eLabFTW are very transparent in this regard. As such, changes made to experiments or entities in general within the ELN are documented with a time stamp and are visible to other members of the team, depending on the individual settings of the entity (see below). It is important to be clear with users that these time stamps do not serve as a method of tracking employees' work. The terms of use should also mention that this is not permissable.Furthermore, a team admin policy can help in clarifying rights, roles, and use of the ELN and may be required by the staff council.The following can aid in communicating these aspects with the work council before implementing the software.",,,,en,webpage,text,advanced beginner,,,isPartOf:https://eln-resources.gitlab.io/collection/,,
ee406c32-9047-45e7-aa32-edf9b82b2dba,,"Karsten-Welker, Adienne Alena : {https://orcid.org/0000-0002-0562-7393} * Haller, Alexander : {https://orcid.org/0009-0006-8685-3507} * Hohenfeld, Christian : {https://orcid.org/0000-0002-8587-8052} * Timm, Henning : {https://orcid.org/0000-0002-5345-7122} * Uzun, Hüseyin : {https://orcid.org/0009-0005-4968-3564} * Jacob, Juliane : {https://orcid.org/0000-0002-0443-3570} * Krägelin, Karl-Ulrich : {https://orcid.org/0000-0002-0189-8049} * Bossert, Lukas C. : {https://orcid.org/0000-0003-3076-3968} * Cyra, Magdalene : {https://orcid.org/0000-0001-7738-2703} * Sommer, Maike * Schröder, Max : {https://orcid.org/0000-0003-1522-494X} * Parks, Nicole Andrea : {https://orcid.org/0000-0002-6243-2840} * Kling, Philipp * Stimberg, Sebastian * Gaida, Sven * Richter, Thomas * Fingerhuth, Matthias : {https://orcid.org/0000-0002-0248-8914}",CC0-1.0,https://eln-resources.gitlab.io/collection/legalAspects/DataProtection_TermsOfUse/,ELN Material Collection - Legal Aspects : Data Protection and Terms,fdm.nrw (SR),"A protection policy outlines how data is processed and which data may be stored in the ELN, while the terms of use outlines under which terms the service may be used.  Your University may provide templates for data privacy/protection policies. contact your data protection officer for assistance.",,,,en,webpage,text,novice,,,isPartOf:https://eln-resources.gitlab.io/collection/,,
e51e9aff-ed39-4d5e-840b-fb5e8a70b2d8,,"Karsten-Welker, Adienne Alena : {https://orcid.org/0000-0002-0562-7393} * Haller, Alexander : {https://orcid.org/0009-0006-8685-3507} * Hohenfeld, Christian : {https://orcid.org/0000-0002-8587-8052} * Timm, Henning : {https://orcid.org/0000-0002-5345-7122} * Uzun, Hüseyin : {https://orcid.org/0009-0005-4968-3564} * Jacob, Juliane : {https://orcid.org/0000-0002-0443-3570} * Krägelin, Karl-Ulrich : {https://orcid.org/0000-0002-0189-8049} * Bossert, Lukas C. : {https://orcid.org/0000-0003-3076-3968} * Cyra, Magdalene : {https://orcid.org/0000-0001-7738-2703} * Sommer, Maike * Schröder, Max : {https://orcid.org/0000-0003-1522-494X} * Parks, Nicole Andrea : {https://orcid.org/0000-0002-6243-2840} * Kling, Philipp * Stimberg, Sebastian * Gaida, Sven * Richter, Thomas * Fingerhuth, Matthias : {https://orcid.org/0000-0002-0248-8914}",CC0-1.0,https://eln-resources.gitlab.io/collection/training_material/,ELN Material Collection - Teaching,fdm.nrw (SR),Tutorial Videos  Official instructional videos are available on the developer's YouTube channel. In these videos basics were explained using eLabFTW version 5.0. ,,,eLabFTW ,en,tutorial,text,advanced beginner,,,isPartOf:https://eln-resources.gitlab.io/collection/,,
499d1e7c-79d7-4c74-bb09-923a2e55d0b1,die Seite sieht kaput aus,"Karsten-Welker, Adienne Alena : {https://orcid.org/0000-0002-0562-7393} * Haller, Alexander : {https://orcid.org/0009-0006-8685-3507} * Hohenfeld, Christian : {https://orcid.org/0000-0002-8587-8052} * Timm, Henning : {https://orcid.org/0000-0002-5345-7122} * Uzun, Hüseyin : {https://orcid.org/0009-0005-4968-3564} * Jacob, Juliane : {https://orcid.org/0000-0002-0443-3570} * Krägelin, Karl-Ulrich : {https://orcid.org/0000-0002-0189-8049} * Bossert, Lukas C. : {https://orcid.org/0000-0003-3076-3968} * Cyra, Magdalene : {https://orcid.org/0000-0001-7738-2703} * Sommer, Maike * Schröder, Max : {https://orcid.org/0000-0003-1522-494X} * Parks, Nicole Andrea : {https://orcid.org/0000-0002-6243-2840} * Kling, Philipp * Stimberg, Sebastian * Gaida, Sven * Richter, Thomas * Fingerhuth, Matthias : {https://orcid.org/0000-0002-0248-8914}",CC0-1.0,https://eln-resources.gitlab.io/collection/literature/,ELN Material Collection - Literature,fdm.nrw (SR),,,,,en,,text,novice,,,isPartOf:https://eln-resources.gitlab.io/collection/,,
bc7a2953-cc60-4135-b974-bc88e34f1050,,"Karsten-Welker, Adienne Alena : {https://orcid.org/0000-0002-0562-7393} * Haller, Alexander : {https://orcid.org/0009-0006-8685-3507} * Hohenfeld, Christian : {https://orcid.org/0000-0002-8587-8052} * Timm, Henning : {https://orcid.org/0000-0002-5345-7122} * Uzun, Hüseyin : {https://orcid.org/0009-0005-4968-3564} * Jacob, Juliane : {https://orcid.org/0000-0002-0443-3570} * Krägelin, Karl-Ulrich : {https://orcid.org/0000-0002-0189-8049} * Bossert, Lukas C. : {https://orcid.org/0000-0003-3076-3968} * Cyra, Magdalene : {https://orcid.org/0000-0001-7738-2703} * Sommer, Maike * Schröder, Max : {https://orcid.org/0000-0003-1522-494X} * Parks, Nicole Andrea : {https://orcid.org/0000-0002-6243-2840} * Kling, Philipp * Stimberg, Sebastian * Gaida, Sven * Richter, Thomas * Fingerhuth, Matthias : {https://orcid.org/0000-0002-0248-8914}",CC0-1.0,https://eln-resources.gitlab.io/collection/FAQ/,ELN Material Collection - FAQ,fdm.nrw (SR),This page covers frequently asked question concerning the usage of eLabFTW from a user perspective. Also consult your local institution for additional information and the offical dokumentation FAQ.,,,eLabFTW ,en,webpage,text,competent,,,isPartOf:https://eln-resources.gitlab.io/collection/,,